nome,tipo_crime,ano,mes,vitimas,ocorrencias,uf
Acre,Homicídio doloso,2015,1,13.0,13.0,AC
Acre,Homicídio doloso,2015,2,10.0,10.0,AC
Acre,Homicídio doloso,2015,3,16.0,16.0,AC
Acre,Homicídio doloso,2015,4,22.0,22.0,AC
Acre,Homicídio doloso,2015,5,15.0,15.0,AC
Acre,Homicídio doloso,2015,6,14.0,14.0,AC
Acre,Homicídio doloso,2015,7,14.0,14.0,AC
Acre,Homicídio doloso,2015,8,13.0,13.0,AC
Acre,Homicídio doloso,2015,9,18.0,18.0,AC
Acre,Homicídio doloso,2015,10,15.0,15.0,AC
Acre,Homicídio doloso,2015,11,21.0,21.0,AC
Acre,Homicídio doloso,2015,12,18.0,18.0,AC
Acre,Homicídio doloso,2016,1,18.0,18.0,AC
Acre,Homicídio doloso,2016,2,18.0,18.0,AC
Acre,Homicídio doloso,2016,3,19.0,19.0,AC
Acre,Homicídio doloso,2016,4,22.0,22.0,AC
Acre,Homicídio doloso,2016,5,27.0,27.0,AC
Acre,Homicídio doloso,2016,6,26.0,26.0,AC
Acre,Homicídio doloso,2016,7,23.0,23.0,AC
Acre,Homicídio doloso,2016,8,23.0,23.0,AC
Acre,Homicídio doloso,2016,9,27.0,27.0,AC
Acre,Homicídio doloso,2016,10,50.0,50.0,AC
Acre,Homicídio doloso,2016,11,30.0,30.0,AC
Acre,Homicídio doloso,2016,12,71.0,142.0,AC
Acre,Homicídio doloso,2017,1,43.0,43.0,AC
Acre,Homicídio doloso,2017,2,46.0,46.0,AC
Acre,Homicídio doloso,2017,3,3.0,1.0,AC
Acre,Homicídio doloso,2017,4,3.0,2.0,AC
Acre,Homicídio doloso,2017,5,1.0,1.0,AC
Acre,Homicídio doloso,2017,6,10.0,10.0,AC
Acre,Homicídio doloso,2017,7,28.0,26.0,AC
Acre,Homicídio doloso,2017,8,21.0,19.0,AC
Acre,Homicídio doloso,2017,9,25.0,24.0,AC
Acre,Homicídio doloso,2017,10,19.0,19.0,AC
Acre,Homicídio doloso,2017,11,22.0,20.0,AC
Acre,Homicídio doloso,2017,12,11.0,10.0,AC
Acre,Homicídio doloso,2018,1,51.0,51.0,AC
Acre,Homicídio doloso,2018,2,28.0,28.0,AC
Acre,Homicídio doloso,2018,3,29.0,29.0,AC
Acre,Homicídio doloso,2018,4,30.0,30.0,AC
Acre,Homicídio doloso,2018,5,36.0,36.0,AC
Acre,Homicídio doloso,2018,6,36.0,36.0,AC
Acre,Homicídio doloso,2018,7,51.0,51.0,AC
Acre,Homicídio doloso,2018,8,33.0,33.0,AC
Acre,Homicídio doloso,2018,9,25.0,25.0,AC
Acre,Homicídio doloso,2018,10,26.0,28.0,AC
Acre,Homicídio doloso,2018,11,21.0,21.0,AC
Acre,Homicídio doloso,2018,12,28.0,28.0,AC
Acre,Homicídio doloso,2019,1,32.0,32.0,AC
Acre,Homicídio doloso,2019,2,26.0,25.0,AC
Acre,Homicídio doloso,2019,3,26.0,26.0,AC
Acre,Homicídio doloso,2019,4,21.0,21.0,AC
Acre,Homicídio doloso,2019,5,20.0,20.0,AC
Acre,Homicídio doloso,2019,6,24.0,20.0,AC
Acre,Homicídio doloso,2019,7,25.0,18.0,AC
Acre,Homicídio doloso,2019,8,19.0,19.0,AC
Acre,Homicídio doloso,2019,9,33.0,34.0,AC
Acre,Homicídio doloso,2019,10,16.0,16.0,AC
Acre,Homicídio doloso,2019,11,22.0,27.0,AC
Acre,Homicídio doloso,2019,12,34.0,34.0,AC
Acre,Homicídio doloso,2020,1,46.0,46.0,AC
Acre,Homicídio doloso,2020,2,20.0,20.0,AC
Acre,Homicídio doloso,2020,3,18.0,18.0,AC
Acre,Lesão corporal seguida de morte,2017,8,3.0,0.0,AC
Acre,Lesão corporal seguida de morte,2019,2,1.0,1.0,AC
Acre,Lesão corporal seguida de morte,2019,7,1.0,,AC
Acre,Lesão corporal seguida de morte,2019,8,1.0,1.0,AC
Acre,Lesão corporal seguida de morte,2019,9,0.0,0.0,AC
Acre,Lesão corporal seguida de morte,2019,10,0.0,0.0,AC
Acre,Lesão corporal seguida de morte,2019,12,0.0,0.0,AC
Acre,Lesão corporal seguida de morte,2020,1,0.0,0.0,AC
Acre,Lesão corporal seguida de morte,2020,3,0.0,0.0,AC
Acre,Roubo seguido de morte (latrocínio),2017,7,6.0,2.0,AC
Acre,Roubo seguido de morte (latrocínio),2017,8,2.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2017,11,7.0,2.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,1,2.0,2.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,2,2.0,2.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,4,4.0,4.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,5,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,6,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,8,2.0,2.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,9,4.0,4.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,10,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,11,2.0,2.0,AC
Acre,Roubo seguido de morte (latrocínio),2018,12,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,2,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,3,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,4,2.0,2.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,5,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,6,4.0,3.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,8,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,9,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,10,0.0,0.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,11,1.0,3.0,AC
Acre,Roubo seguido de morte (latrocínio),2019,12,0.0,0.0,AC
Acre,Roubo seguido de morte (latrocínio),2020,1,1.0,1.0,AC
Acre,Roubo seguido de morte (latrocínio),2020,3,0.0,0.0,AC
Alagoas,Homicídio doloso,2015,1,186.0,186.0,AL
Alagoas,Homicídio doloso,2015,2,147.0,147.0,AL
Alagoas,Homicídio doloso,2015,3,132.0,132.0,AL
Alagoas,Homicídio doloso,2015,4,127.0,126.0,AL
Alagoas,Homicídio doloso,2015,5,121.0,120.0,AL
Alagoas,Homicídio doloso,2015,6,138.0,138.0,AL
Alagoas,Homicídio doloso,2015,7,130.0,130.0,AL
Alagoas,Homicídio doloso,2015,8,119.0,118.0,AL
Alagoas,Homicídio doloso,2015,9,116.0,115.0,AL
Alagoas,Homicídio doloso,2015,10,128.0,126.0,AL
Alagoas,Homicídio doloso,2015,11,139.0,138.0,AL
Alagoas,Homicídio doloso,2015,12,160.0,157.0,AL
Alagoas,Homicídio doloso,2016,1,148.0,144.0,AL
Alagoas,Homicídio doloso,2016,2,132.0,128.0,AL
Alagoas,Homicídio doloso,2016,3,161.0,158.0,AL
Alagoas,Homicídio doloso,2016,4,127.0,124.0,AL
Alagoas,Homicídio doloso,2016,5,147.0,143.0,AL
Alagoas,Homicídio doloso,2016,6,124.0,123.0,AL
Alagoas,Homicídio doloso,2016,7,151.0,149.0,AL
Alagoas,Homicídio doloso,2016,8,126.0,121.0,AL
Alagoas,Homicídio doloso,2016,9,120.0,119.0,AL
Alagoas,Homicídio doloso,2016,10,132.0,128.0,AL
Alagoas,Homicídio doloso,2016,11,152.0,148.0,AL
Alagoas,Homicídio doloso,2016,12,175.0,174.0,AL
Alagoas,Homicídio doloso,2017,1,189.0,188.0,AL
Alagoas,Homicídio doloso,2017,2,168.0,164.0,AL
Alagoas,Homicídio doloso,2017,3,175.0,169.0,AL
Alagoas,Homicídio doloso,2017,4,150.0,147.0,AL
Alagoas,Homicídio doloso,2017,5,108.0,107.0,AL
Alagoas,Homicídio doloso,2017,6,118.0,116.0,AL
Alagoas,Homicídio doloso,2017,7,102.0,100.0,AL
Alagoas,Homicídio doloso,2017,8,136.0,134.0,AL
Alagoas,Homicídio doloso,2017,9,137.0,132.0,AL
Alagoas,Homicídio doloso,2017,10,146.0,143.0,AL
Alagoas,Homicídio doloso,2017,11,132.0,127.0,AL
Alagoas,Homicídio doloso,2017,12,145.0,145.0,AL
Alagoas,Homicídio doloso,2018,1,151.0,148.0,AL
Alagoas,Homicídio doloso,2018,2,106.0,106.0,AL
Alagoas,Homicídio doloso,2018,3,118.0,118.0,AL
Alagoas,Homicídio doloso,2018,4,138.0,136.0,AL
Alagoas,Homicídio doloso,2018,5,112.0,112.0,AL
Alagoas,Homicídio doloso,2018,6,114.0,113.0,AL
Alagoas,Homicídio doloso,2018,7,91.0,90.0,AL
Alagoas,Homicídio doloso,2018,8,109.0,104.0,AL
Alagoas,Homicídio doloso,2018,9,97.0,97.0,AL
Alagoas,Homicídio doloso,2018,10,96.0,92.0,AL
Alagoas,Homicídio doloso,2018,11,87.0,85.0,AL
Alagoas,Homicídio doloso,2018,12,111.0,108.0,AL
Alagoas,Homicídio doloso,2019,1,98.0,90.0,AL
Alagoas,Homicídio doloso,2019,2,94.0,92.0,AL
Alagoas,Homicídio doloso,2019,3,94.0,92.0,AL
