UF;Tipo Crime;Ano;Mês;Ocorrências
Acre;Estupro;2015;1;6
Acre;Furto de veículo;2015;1;0
Acre;Homicídio doloso;2015;1;13
Acre;Lesão corporal seguida de morte;2015;1;0
Acre;Roubo a instituição financeira;2015;1;0
Acre;Roubo de carga;2015;1;0
Acre;Roubo de veículo;2015;1;0
Acre;Roubo seguido de morte (latrocínio);2015;1;0
Acre;Tentativa de homicídio;2015;1;2
Acre;Estupro;2015;2;8
Acre;Furto de veículo;2015;2;0
Acre;Homicídio doloso;2015;2;10
Acre;Lesão corporal seguida de morte;2015;2;1
Acre;Roubo a instituição financeira;2015;2;0
Acre;Roubo de carga;2015;2;0
Acre;Roubo de veículo;2015;2;0
Acre;Roubo seguido de morte (latrocínio);2015;2;1
Acre;Tentativa de homicídio;2015;2;0
Acre;Estupro;2015;3;6
Acre;Furto de veículo;2015;3;0
Acre;Homicídio doloso;2015;3;16
Acre;Lesão corporal seguida de morte;2015;3;0
Acre;Roubo a instituição financeira;2015;3;0
Acre;Roubo de carga;2015;3;0
Acre;Roubo de veículo;2015;3;0
Acre;Roubo seguido de morte (latrocínio);2015;3;1
Acre;Tentativa de homicídio;2015;3;1
Acre;Estupro;2015;4;3
Acre;Furto de veículo;2015;4;0
Acre;Homicídio doloso;2015;4;22
Acre;Lesão corporal seguida de morte;2015;4;0
Acre;Roubo a instituição financeira;2015;4;0
Acre;Roubo de carga;2015;4;0
Acre;Roubo de veículo;2015;4;0
Acre;Roubo seguido de morte (latrocínio);2015;4;1
Acre;Tentativa de homicídio;2015;4;2
Acre;Estupro;2015;5;4
Acre;Furto de veículo;2015;5;0
Acre;Homicídio doloso;2015;5;15
Acre;Lesão corporal seguida de morte;2015;5;0
Acre;Roubo a instituição financeira;2015;5;0
Acre;Roubo de carga;2015;5;0
Acre;Roubo de veículo;2015;5;0
Acre;Roubo seguido de morte (latrocínio);2015;5;0
Acre;Tentativa de homicídio;2015;5;2
Acre;Estupro;2015;6;4
Acre;Furto de veículo;2015;6;0
Acre;Homicídio doloso;2015;6;14
Acre;Lesão corporal seguida de morte;2015;6;0
Acre;Roubo a instituição financeira;2015;6;0
Acre;Roubo de carga;2015;6;0
Acre;Roubo de veículo;2015;6;0
Acre;Roubo seguido de morte (latrocínio);2015;6;1
Acre;Tentativa de homicídio;2015;6;0
Acre;Estupro;2015;7;2
Acre;Furto de veículo;2015;7;0
Acre;Homicídio doloso;2015;7;14
Acre;Lesão corporal seguida de morte;2015;7;1
Acre;Roubo a instituição financeira;2015;7;0
Acre;Roubo de carga;2015;7;0
Acre;Roubo de veículo;2015;7;0
Acre;Roubo seguido de morte (latrocínio);2015;7;2
Acre;Tentativa de homicídio;2015;7;0
Acre;Estupro;2015;8;1
Acre;Furto de veículo;2015;8;0
Acre;Homicídio doloso;2015;8;13
Acre;Lesão corporal seguida de morte;2015;8;1
Acre;Roubo a instituição financeira;2015;8;0
Acre;Roubo de carga;2015;8;0
Acre;Roubo de veículo;2015;8;0
Acre;Roubo seguido de morte (latrocínio);2015;8;1
Acre;Tentativa de homicídio;2015;8;3
Acre;Estupro;2015;9;2
Acre;Furto de veículo;2015;9;0
Acre;Homicídio doloso;2015;9;18
Acre;Lesão corporal seguida de morte;2015;9;0
Acre;Roubo a instituição financeira;2015;9;0
Acre;Roubo de carga;2015;9;0
Acre;Roubo de veículo;2015;9;0
Acre;Roubo seguido de morte (latrocínio);2015;9;0
Acre;Tentativa de homicídio;2015;9;5
Acre;Estupro;2015;10;5
Acre;Furto de veículo;2015;10;0
Acre;Homicídio doloso;2015;10;15
Acre;Lesão corporal seguida de morte;2015;10;0
Acre;Roubo a instituição financeira;2015;10;0
Acre;Roubo de carga;2015;10;0
Acre;Roubo de veículo;2015;10;0
Acre;Roubo seguido de morte (latrocínio);2015;10;2
Acre;Tentativa de homicídio;2015;10;0
Acre;Estupro;2015;11;1
Acre;Furto de veículo;2015;11;0
Acre;Homicídio doloso;2015;11;21
Acre;Lesão corporal seguida de morte;2015;11;0
Acre;Roubo a instituição financeira;2015;11;0
Acre;Roubo de carga;2015;11;0
Acre;Roubo de veículo;2015;11;0
Acre;Roubo seguido de morte (latrocínio);2015;11;1
Acre;Tentativa de homicídio;2015;11;1
Acre;Estupro;2015;12;0
Acre;Furto de veículo;2015;12;0
Acre;Homicídio doloso;2015;12;18
Acre;Lesão corporal seguida de morte;2015;12;0
Acre;Roubo a instituição financeira;2015;12;0
Acre;Roubo de carga;2015;12;0
Acre;Roubo de veículo;2015;12;0
Acre;Roubo seguido de morte (latrocínio);2015;12;0
Acre;Tentativa de homicídio;2015;12;0
Acre;Estupro;2016;1;1
Acre;Furto de veículo;2016;1;0
Acre;Homicídio doloso;2016;1;18
Acre;Lesão corporal seguida de morte;2016;1;0
Acre;Roubo a instituição financeira;2016;1;0
Acre;Roubo de carga;2016;1;0
Acre;Roubo de veículo;2016;1;0
Acre;Roubo seguido de morte (latrocínio);2016;1;1
Acre;Tentativa de homicídio;2016;1;1
Acre;Estupro;2016;2;1
Acre;Furto de veículo;2016;2;0
Acre;Homicídio doloso;2016;2;18
Acre;Lesão corporal seguida de morte;2016;2;0
Acre;Roubo a instituição financeira;2016;2;0
Acre;Roubo de carga;2016;2;0
Acre;Roubo de veículo;2016;2;0
Acre;Roubo seguido de morte (latrocínio);2016;2;1
Acre;Tentativa de homicídio;2016;2;1
Acre;Estupro;2016;3;4
Acre;Furto de veículo;2016;3;0
Acre;Homicídio doloso;2016;3;19
Acre;Lesão corporal seguida de morte;2016;3;0
Acre;Roubo a instituição financeira;2016;3;0
