UF;Tipo Crime;Ano;Mês;Vítimas
Acre;Homicídio doloso;2015;1;13
Acre;Homicídio doloso;2015;2;10
Acre;Homicídio doloso;2015;3;16
Acre;Homicídio doloso;2015;4;22
Acre;Homicídio doloso;2015;5;15
Acre;Homicídio doloso;2015;6;14
Acre;Homicídio doloso;2015;7;14
Acre;Homicídio doloso;2015;8;13
Acre;Homicídio doloso;2015;9;18
Acre;Homicídio doloso;2015;10;15
Acre;Homicídio doloso;2015;11;21
Acre;Homicídio doloso;2015;12;18
Acre;Homicídio doloso;2016;1;18
Acre;Homicídio doloso;2016;2;18
Acre;Homicídio doloso;2016;3;19
Acre;Homicídio doloso;2016;4;22
Acre;Homicídio doloso;2016;5;27
Acre;Homicídio doloso;2016;6;26
Acre;Homicídio doloso;2016;7;23
Acre;Homicídio doloso;2016;8;23
Acre;Homicídio doloso;2016;9;27
Acre;Homicídio doloso;2016;10;50
Acre;Homicídio doloso;2016;11;30
Acre;Homicídio doloso;2016;12;71
Acre;Homicídio doloso;2017;1;43
Acre;Homicídio doloso;2017;2;46
Acre;Homicídio doloso;2017;3;3
Acre;Homicídio doloso;2017;4;3
Acre;Homicídio doloso;2017;5;1
Acre;Homicídio doloso;2017;6;10
Acre;Homicídio doloso;2017;7;28
Acre;Homicídio doloso;2017;8;21
Acre;Homicídio doloso;2017;9;25
Acre;Homicídio doloso;2017;10;19
Acre;Homicídio doloso;2017;11;22
Acre;Homicídio doloso;2017;12;11
Acre;Homicídio doloso;2018;1;51
Acre;Homicídio doloso;2018;2;28
Acre;Homicídio doloso;2018;3;29
Acre;Homicídio doloso;2018;4;30
Acre;Homicídio doloso;2018;5;36
Acre;Homicídio doloso;2018;6;36
Acre;Homicídio doloso;2018;7;51
Acre;Homicídio doloso;2018;8;33
Acre;Homicídio doloso;2018;9;25
Acre;Homicídio doloso;2018;10;26
Acre;Homicídio doloso;2018;11;21
Acre;Homicídio doloso;2018;12;28
Acre;Homicídio doloso;2019;1;32
Acre;Homicídio doloso;2019;2;26
Acre;Homicídio doloso;2019;3;26
Acre;Homicídio doloso;2019;4;21
Acre;Homicídio doloso;2019;5;20
Acre;Homicídio doloso;2019;6;24
Acre;Homicídio doloso;2019;7;25
Acre;Homicídio doloso;2019;8;19
Acre;Homicídio doloso;2019;9;33
Acre;Homicídio doloso;2019;10;16
Acre;Homicídio doloso;2019;11;22
Acre;Homicídio doloso;2019;12;34
Acre;Homicídio doloso;2020;1;46
Acre;Homicídio doloso;2020;2;20
